Name," ""ShortName"""," ""ModeAndPID"""," ""Equation"""," ""Min Value"""," ""Max Value"""," ""Units"""," ""Header"""," ""startDiagnostic"""," ""stopDiagnostic"""," ""Scale"""
DSG Transmission Temperature,DSG Oil,0x222104,A,0,200,°C,7E1,ATAL \n ATSH 200 \n 0AC00010000301 \n ATSP6 \n ATSH 7E1 \n ATFCSH 70F \n ATCRA 7E9 \n ATH0 \n 1003 \n,A8 \n,1
Engine Oil Temperature,Engine Oil,0x2211BE,(((A*256)+B)-2731)/10,0,200,°C,7E0,ATAL \n ATSH 200 \n 0AC00010000301 \n ATSP6 \n ATSH 7E0 \n ATFCSH 7E0 \n ATCRA 7E8 \n ATH0 \n 1003 \n,A8 \n,1
